checkpoint,layer,head,dla_contribution
50M,0,8,-0.0006423977320082486
50M,0,9,-0.0007753881363896653
50M,0,10,-0.0005827307468280196
50M,0,11,-0.002801037160679698
50M,1,0,-0.004921359126456082
50M,1,1,-0.0031319070258177817
50M,1,2,0.007664342818316072
50M,1,3,0.00481558102183044
50M,1,4,0.0033407259616069496
50M,1,5,-0.0008368410635739565
50M,1,6,-0.006607515620999038
50M,1,7,0.0015267671551555395
50M,1,8,0.0018305897829122841
50M,1,9,0.0047204699367284775
50M,1,10,0.0026469805743545294
50M,1,11,0.004923559259623289
50M,2,0,0.013942373218014836
50M,2,1,0.005665405944455415
50M,2,2,0.0029846763354726136
50M,2,3,0.00775439478456974
50M,2,4,-0.010583038674667478
50M,2,5,0.0008485573343932629
50M,2,6,0.006106251239543781
50M,2,7,-0.0008039132226258516
50M,2,8,-0.0020201426232233644
50M,2,9,0.0025616788771003485
50M,2,10,-0.003736167447641492
50M,2,11,-0.002274555736221373
50M,3,0,-0.006253436906263232
50M,3,1,0.007288452237844467
50M,3,2,0.004477496026083827
50M,3,3,0.007183943991549313
50M,3,4,-0.005037001566961408
50M,3,5,-0.0011351718567311764
50M,3,6,0.0036479601403698325
50M,3,7,0.006578006781637669
50M,3,8,0.0031111863208934665
50M,3,9,0.016853417502716184
50M,3,10,0.0003385052550584078
50M,3,11,-0.006303104804828763
50M,4,0,-0.0032045987900346518
50M,4,1,-0.002235585357993841
50M,4,2,0.0015641453646821901
50M,4,3,0.0034642243990674615
50M,4,4,0.004788798454683274
50M,4,5,-0.001603564596734941
50M,4,6,-0.00035488809226080775
50M,4,7,-0.0005118846893310547
50M,4,8,0.008998620323836803
50M,4,9,0.003208584734238684
50M,4,10,-0.0026915970374830067
50M,4,11,0.0015710517764091492
50M,5,0,0.0003128121607005596
50M,5,1,0.01582196808885783
50M,5,2,-0.005110312951728702
50M,5,3,-0.013408514438197017
50M,5,4,0.010724396212026477
50M,5,5,0.0077019702875986695
50M,5,6,-0.005080214352346957
50M,5,7,-0.004185650410363451
50M,5,8,-0.010809426894411445
50M,5,9,0.0003753125201910734
50M,5,10,0.005447127157822251
50M,5,11,0.004422149853780866
50M,6,0,0.026566695421934128
50M,6,1,-0.0019262921996414661
50M,6,2,0.014317447319626808
50M,6,3,0.0006369072361849248
50M,6,4,-0.007147322176024318
50M,6,5,0.00354757288005203
50M,6,6,0.005443067057058215
50M,6,7,0.010878582717850804
50M,6,8,-0.0013186786090955138
50M,6,9,0.0009140139445662498
50M,6,10,-0.0030843408312648535
50M,6,11,0.016760515980422497
50M,7,0,0.0030737717170268297
50M,7,1,0.012568374630063772
50M,7,2,-0.0021335325145628303
50M,7,3,-0.014252662425860763
50M,7,4,-0.006478958297520876
50M,7,5,0.002069475711323321
50M,7,6,-0.004519822192378342
50M,7,7,0.012537011178210378
50M,7,8,-0.019557310384698212
50M,7,9,0.003588436054997146
50M,7,10,-0.0010432680137455463
50M,7,11,-0.004363650863524526
50M,8,0,0.0014660776359960437
50M,8,1,0.0065423803753219545
50M,8,2,0.002074199728667736
50M,8,3,0.00544946949230507
50M,8,4,-0.03480987390503287
50M,8,5,0.003008939151186496
50M,8,6,0.011250360636040568
50M,8,7,-0.00048170972149819136
50M,8,8,0.004535290878266096
50M,8,9,-0.0014231774257496
50M,8,10,-0.004835227038711309
50M,8,11,0.011673587607219815
50M,9,0,-0.00031522708013653755
50M,9,1,0.00027649005642160773
50M,9,2,-0.0020307119702920318
50M,9,3,-0.004718789248727262
50M,9,4,-0.00804742134641856
50M,9,5,0.008027318981476128
50M,9,6,-0.00777041248511523
50M,9,7,-0.0036376460921019316
50M,9,8,0.008597136125899851
50M,9,9,-0.007112283841706812
50M,9,10,0.0026303179911337793
50M,9,11,-0.0230322671122849
50M,10,0,0.0025732809444889426
50M,10,1,0.002972228918224573
50M,10,2,-0.016996878082863986
50M,10,3,0.01152354758232832
50M,10,4,-0.0006431508809328079
50M,10,5,-0.041128043085336685
50M,10,6,0.006350342882797122
50M,10,7,-0.002853354555554688
50M,10,8,0.00037718360545113683
50M,10,9,-0.003446832299232483
50M,10,10,-0.005550050351303071
50M,10,11,-0.004954831907525659
50M,11,0,-0.013787497766315937
50M,11,1,0.01449299673549831
50M,11,2,-0.003233453899156302
50M,11,3,0.0025568039854988456
50M,11,4,0.0021355499047785997
50M,11,5,-0.00012058450374752283
50M,11,6,0.01761324272956699
50M,11,7,0.021147972089238465
50M,11,8,0.007286816369742155
50M,11,9,0.010808111866936088
50M,11,10,-0.005096793291158974
50M,11,11,0.0019435306312516332
