checkpoint,layer,head,entropy
200M,8,9,0.5368183255195618
200M,8,10,0.28608450293540955
200M,8,11,1.8830723762512207
200M,9,0,2.114989757537842
200M,9,1,1.3662112951278687
200M,9,2,0.08833001554012299
200M,9,3,1.7893457412719727
200M,9,4,0.15572743117809296
200M,9,5,0.14348959922790527
200M,9,6,2.0050430297851562
200M,9,7,2.0201568603515625
200M,9,8,1.9684176445007324
200M,9,9,0.7934379577636719
200M,9,10,1.4171783924102783
200M,9,11,1.7621506452560425
200M,10,0,2.431992530822754
200M,10,1,2.453845739364624
200M,10,2,1.7970566749572754
200M,10,3,1.6780109405517578
200M,10,4,0.707644522190094
200M,10,5,0.4138873815536499
200M,10,6,2.1665382385253906
200M,10,7,1.97779381275177
200M,10,8,1.7888902425765991
200M,10,9,1.8948801755905151
200M,10,10,2.122267484664917
200M,10,11,1.5658613443374634
200M,11,0,2.2522716522216797
200M,11,1,1.7114205360412598
200M,11,2,1.1350326538085938
200M,11,3,1.1289393901824951
200M,11,4,2.2876813411712646
200M,11,5,1.2237476110458374
200M,11,6,2.476832628250122
200M,11,7,1.9190813302993774
200M,11,8,2.2425217628479004
200M,11,9,1.394981861114502
200M,11,10,2.2660844326019287
200M,11,11,1.8102259635925293
1000M,0,0,2.3082971572875977
1000M,0,1,2.49900221824646
1000M,0,2,1.0769333839416504
1000M,0,3,0.5952538251876831
1000M,0,4,1.590335488319397
1000M,0,5,0.1821184903383255
1000M,0,6,2.189563274383545
1000M,0,7,2.222416400909424
1000M,0,8,1.0340629816055298
1000M,0,9,2.6110827922821045
1000M,0,10,1.9629430770874023
1000M,0,11,0.09901421517133713
1000M,1,0,2.142261266708374
1000M,1,1,2.223682403564453
1000M,1,2,1.4664655923843384
1000M,1,3,2.171708822250366
1000M,1,4,0.14938898384571075
1000M,1,5,1.7034204006195068
1000M,1,6,1.5618150234222412
1000M,1,7,2.4752886295318604
1000M,1,8,2.2269418239593506
1000M,1,9,0.008748922497034073
1000M,1,10,2.3724350929260254
1000M,1,11,2.2129628658294678
1000M,2,0,2.350356101989746
1000M,2,1,1.4988511800765991
1000M,2,2,2.174582004547119
1000M,2,3,0.42669010162353516
1000M,2,4,2.047248601913452
1000M,2,5,2.4139089584350586
1000M,2,6,2.2964277267456055
1000M,2,7,2.0195083618164062
1000M,2,8,2.4192755222320557
1000M,2,9,2.3056201934814453
1000M,2,10,2.3297793865203857
1000M,2,11,1.8132380247116089
1000M,3,0,1.3639178276062012
1000M,3,1,1.630679726600647
1000M,3,2,2.22432804107666
1000M,3,3,2.2381443977355957
1000M,3,4,1.734871745109558
1000M,3,5,2.2237026691436768
1000M,3,6,1.8242871761322021
1000M,3,7,2.1260478496551514
1000M,3,8,1.8851515054702759
1000M,3,9,1.662587285041809
1000M,3,10,1.9104194641113281
1000M,3,11,1.979430079460144
1000M,4,0,1.8639497756958008
1000M,4,1,1.8103514909744263
1000M,4,2,0.021773483604192734
1000M,4,3,2.1862077713012695
1000M,4,4,2.0009288787841797
1000M,4,5,2.380112886428833
1000M,4,6,1.5266566276550293
1000M,4,7,2.009460687637329
1000M,4,8,2.035680055618286
1000M,4,9,2.3518717288970947
1000M,4,10,1.3613804578781128
1000M,4,11,1.8497673273086548
1000M,5,0,1.7510654926300049
1000M,5,1,1.7439188957214355
1000M,5,2,2.1091115474700928
1000M,5,3,2.075244903564453
1000M,5,4,2.2182116508483887
1000M,5,5,1.8679025173187256
1000M,5,6,1.733862042427063
1000M,5,7,1.459719181060791
1000M,5,8,0.9664861559867859
1000M,5,9,0.8821152448654175
1000M,5,10,1.417772889137268
1000M,5,11,2.0146243572235107
1000M,6,0,0.12730374932289124
1000M,6,1,0.7692233920097351
1000M,6,2,1.315159559249878
1000M,6,3,1.5936318635940552
1000M,6,4,1.3759939670562744
1000M,6,5,1.4150243997573853
1000M,6,6,1.951406478881836
1000M,6,7,1.6498541831970215
1000M,6,8,2.0508522987365723
1000M,6,9,2.0203607082366943
1000M,6,10,1.8219707012176514
1000M,6,11,1.0220657587051392
1000M,7,0,1.7668553590774536
1000M,7,1,1.7066527605056763
1000M,7,2,1.8960355520248413
1000M,7,3,0.9970012903213501
1000M,7,4,1.9029641151428223
1000M,7,5,1.3415814638137817
1000M,7,6,1.2638719081878662
1000M,7,7,0.779345691204071
1000M,7,8,1.474705696105957
1000M,7,9,1.8310939073562622
1000M,7,10,1.881255030632019
1000M,7,11,0.9496062994003296
1000M,8,0,0.39050135016441345
1000M,8,1,1.57132887840271
1000M,8,2,2.1009836196899414
1000M,8,3,1.50928795337677
1000M,8,4,1.718809962272644
1000M,8,5,0.6910265684127808
1000M,8,6,0.6632283329963684
1000M,8,7,1.566217064857483
1000M,8,8,0.11232420057058334
1000M,8,9,0.6556127667427063
1000M,8,10,0.4074375629425049
1000M,8,11,2.1696407794952393
1000M,9,0,1.0727553367614746
1000M,9,1,2.2388110160827637
1000M,9,2,0.5660326480865479
1000M,9,3,1.4864346981048584
1000M,9,4,1.609055757522583
1000M,9,5,1.203490138053894
1000M,9,6,1.2306644916534424
1000M,9,7,1.435094952583313
1000M,9,8,1.2020013332366943
1000M,9,9,1.4924453496932983
1000M,9,10,1.1113382577896118
1000M,9,11,1.2326245307922363
1000M,10,0,2.231191396713257
1000M,10,1,1.872121810913086
1000M,10,2,1.4166114330291748
1000M,10,3,0.9837186932563782
1000M,10,4,1.4382202625274658
1000M,10,5,1.2316176891326904
1000M,10,6,2.3056507110595703
1000M,10,7,1.659902811050415
