checkpoint,layer,head,dla_score
20M,10,2,0.0023091572802513838
20M,10,3,0.012351615354418755
20M,10,4,0.016429850831627846
20M,10,5,0.004342278465628624
20M,10,6,0.009197589941322803
20M,10,7,0.012071359902620316
20M,10,8,0.003086678683757782
20M,10,9,0.0013894153526052833
20M,10,10,0.005850950255990028
20M,10,11,0.0012845289893448353
20M,11,0,0.005300810560584068
20M,11,1,0.010460944846272469
20M,11,2,-0.00041699098073877394
20M,11,3,0.004888046067208052
20M,11,4,0.003670956939458847
20M,11,5,0.013389826752245426
20M,11,6,0.00865594856441021
20M,11,7,0.007741214707493782
20M,11,8,0.015934564173221588
20M,11,9,0.0042828768491744995
20M,11,10,0.00446557579562068
20M,11,11,0.002258905442431569
50M,0,0,-0.00013609376037493348
50M,0,1,0.0027764595579355955
50M,0,2,-0.008983926847577095
50M,0,3,0.0008248805534094572
50M,0,4,0.000782435352448374
50M,0,5,0.0030339304357767105
50M,0,6,-0.0027012864593416452
50M,0,7,0.0020326951052993536
50M,0,8,-0.0008857713546603918
50M,0,9,-0.0006491064559668303
50M,0,10,-0.0019923755899071693
50M,0,11,0.00031146418768912554
50M,1,0,-0.0028081396594643593
50M,1,1,-0.0003950675600208342
50M,1,2,0.011293408460915089
50M,1,3,0.010462557896971703
50M,1,4,-0.0016673526261001825
50M,1,5,0.004910753108561039
50M,1,6,-0.0021705967374145985
50M,1,7,-0.0016609563026577234
50M,1,8,-0.004075512755662203
50M,1,9,0.019364317879080772
50M,1,10,0.009267865680158138
50M,1,11,0.012428033165633678
50M,2,0,0.01759772002696991
50M,2,1,0.0010181752732023597
50M,2,2,0.011193692684173584
50M,2,3,-0.006273214239627123
50M,2,4,-0.003012719564139843
50M,2,5,0.005685452837496996
50M,2,6,0.014551501721143723
50M,2,7,-0.007499840576201677
50M,2,8,-0.012266053818166256
50M,2,9,0.012459773570299149
50M,2,10,-0.0005805281107313931
50M,2,11,-0.00930411834269762
50M,3,0,-0.004334001801908016
50M,3,1,-0.013706522062420845
50M,3,2,0.008947867900133133
50M,3,3,0.012821322306990623
50M,3,4,-0.003093051491305232
50M,3,5,0.0028697410598397255
50M,3,6,0.022049162536859512
50M,3,7,0.009514902718365192
50M,3,8,0.00867127999663353
50M,3,9,0.018137024715542793
50M,3,10,0.001461078762076795
50M,3,11,0.0002351216971874237
50M,4,0,-0.002694167196750641
50M,4,1,-0.01106397807598114
50M,4,2,-0.002933316398411989
50M,4,3,0.013085432350635529
50M,4,4,0.001349925179965794
50M,4,5,0.009981004521250725
50M,4,6,4.35678921348881e-05
50M,4,7,0.01084241084754467
50M,4,8,0.01382187008857727
50M,4,9,0.005050162319093943
50M,4,10,-0.003131396137177944
50M,4,11,0.0006922527099959552
50M,5,0,0.019839094951748848
50M,5,1,0.010670534335076809
50M,5,2,0.008562285453081131
50M,5,3,-0.004491024184972048
50M,5,4,0.011994884349405766
50M,5,5,0.008281202986836433
50M,5,6,0.0014848067658022046
50M,5,7,0.021468093618750572
50M,5,8,-0.003365582786500454
50M,5,9,0.008378718048334122
50M,5,10,0.003058388363569975
50M,5,11,0.004138672724366188
50M,6,0,0.019851841032505035
50M,6,1,0.0014111921191215515
50M,6,2,-0.0025987194385379553
50M,6,3,0.013428360223770142
50M,6,4,0.013098044320940971
50M,6,5,0.0037733283825218678
50M,6,6,0.008078278042376041
50M,6,7,0.021153543144464493
50M,6,8,0.009666201658546925
50M,6,9,0.004035844001919031
50M,6,10,0.001663247705437243
50M,6,11,0.011438144370913506
